filepath,water_fraction,water_pixels,total_pixels,error
data/raw/external/river_water_dataset\2019\images\DJI_2750.JPG,0.5139716809142997,2683919,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2751.JPG,0.5102157827006158,2664306,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2752.JPG,0.502185977571468,2622375,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2753.JPG,0.49810452860250637,2601062,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2754.JPG,0.48097117535312683,2511593,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2755.JPG,0.47451014186352913,2477854,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2756.JPG,0.4785567377516316,2498985,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2757.JPG,0.4110974507460857,2146718,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2758.JPG,0.22323589790728315,1165720,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2759.JPG,0.07925992738303153,413889,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2760.JPG,0.04091904893219352,213676,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2761.JPG,0.04134417991849741,215896,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2773.JPG,0.015555964089836689,81232,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2774.JPG,0.11091935533290437,579212,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2775.JPG,0.26499697429298036,1383793,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2776.JPG,0.36638133100468795,1913214,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2777.JPG,0.3981234871464902,2078969,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2778.JPG,0.452517847841407,2363012,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2779.JPG,0.5023541149615467,2623253,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2780.JPG,0.5012817124735729,2617653,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2781.JPG,0.49707502221405153,2595686,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2782.JPG,0.5012108573091889,2617283,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2783.JPG,0.48962373992707664,2556776,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2784.JPG,0.5066515764316574,2645694,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2785.JPG,0.5076672947881239,2650998,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2786.JPG,0.4469876980114594,2334134,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2787.JPG,0.37505189662040017,1958491,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2788.JPG,0.3704581839629868,1934503,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2789.JPG,0.2427021095688942,1267371,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2790.JPG,0.1163179443576309,607403,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2791.JPG,0.1045155804761467,545772,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2792.JPG,0.11188681557741215,584264,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2793.JPG,0.18066688114716425,943428,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2794.JPG,0.19636513006710177,1025403,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2795.JPG,0.13941883445169592,728034,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2796.JPG,0.10795071544565983,563710,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2797.JPG,0.08581249808499555,448106,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2798.JPG,0.052284217299384136,273024,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2799.JPG,0.19694652541593896,1028439,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2800.JPG,0.3408121916842847,1779694,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2801.JPG,0.4035810583080553,2107468,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2802.JPG,0.4114471305573429,2148544,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2803.JPG,0.4795404755339032,2504122,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2804.JPG,0.48502926126788615,2532784,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2805.JPG,0.49947126727334007,2608199,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2806.JPG,0.5075751830744247,2650517,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2807.JPG,0.5096253868308974,2661223,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2808.JPG,0.5095457226460766,2660807,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2809.JPG,0.4449637298158532,2323565,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2810.JPG,0.3678535864203205,1920902,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2811.JPG,0.36406398412844315,1901113,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2812.JPG,0.3501396038238809,1828401,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2813.JPG,0.21704526304501026,1133393,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2814.JPG,0.07724093819897662,403346,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2815.JPG,0.022883154088917487,119494,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2836.JPG,0.013848354628182737,72315,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2837.JPG,0.020321069644881576,106115,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2838.JPG,0.08359358243711125,436519,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2839.JPG,0.19029973649538867,993730,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2840.JPG,0.29478122989245337,1539324,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2841.JPG,0.32479566902595214,1696057,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2842.JPG,0.3288866930171278,1717420,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2843.JPG,0.32366658240647117,1690161,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2844.JPG,0.41073302540061896,2144815,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2845.JPG,0.4961768851303735,2590996,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2846.JPG,0.5002598661028893,2612317,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2847.JPG,0.528341682752704,2758958,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2848.JPG,0.49732224928761837,2596977,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2849.JPG,0.4607322593988418,2405907,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2850.JPG,0.45537503447008,2377932,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2851.JPG,0.40999172718080706,2140944,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2852.JPG,0.3877644621135521,2024875,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2853.JPG,0.39367876183472744,2055759,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2854.JPG,0.3750672166559426,1958571,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2855.JPG,0.2521877010754665,1316904,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2856.JPG,0.11352491037779208,592818,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2857.JPG,0.02573555320648344,134389,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2858.JPG,0.005505829273523915,28751,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2859.JPG,0.03109584214235377,162380,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2860.JPG,0.05194564451389527,271256,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2861.JPG,0.06956387688819438,363257,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2862.JPG,0.07680316818335019,401060,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2863.JPG,0.07436881453564972,388348,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2864.JPG,0.06806442840947391,355427,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2865.JPG,0.05890400465729081,307592,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2866.JPG,0.1363329962925514,711920,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2867.JPG,0.28383314949290683,1482154,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2868.JPG,0.40064516499678277,2092137,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2869.JPG,0.456228168949352,2382387,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2870.JPG,0.47906478843030914,2501638,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2871.JPG,0.49965625670251557,2609165,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2872.JPG,0.5210773048993473,2721024,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2873.JPG,0.5145611192817967,2686997,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2874.JPG,0.49966640622606245,2609218,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2875.JPG,0.4636195115972669,2420984,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2876.JPG,0.37581904740018995,1962497,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2877.JPG,0.3549725005362012,1853638,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2878.JPG,0.35352456567699236,1846077,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2879.JPG,0.23880182002022246,1247004,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2880.JPG,0.1256149079265864,655951,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2881.JPG,0.09543616141189448,498360,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2882.JPG,0.06939554799767135,362378,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2883.JPG,0.054690228881331,285588,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2884.JPG,0.020652173913043477,107844,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2903.JPG,0.04014711064129669,209645,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2904.JPG,0.10644322394827956,555838,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2905.JPG,0.12264492753623188,640442,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2906.JPG,0.12862874191868126,671689,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2907.JPG,0.2704307993994546,1412168,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2908.JPG,0.43316462144192175,2261951,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2909.JPG,0.5072929114195545,2649043,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2910.JPG,0.5183478490670098,2706771,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2911.JPG,0.5267754006189295,2750779,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2912.JPG,0.5267861246438091,2750835,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2913.JPG,0.5292153077795141,2763520,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2914.JPG,0.5060609890614947,2642610,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2915.JPG,0.4181929252075865,2183770,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2916.JPG,0.378991060759261,1979061,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2917.JPG,0.3412018950883966,1781729,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2918.JPG,0.1758500704721635,918275,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2919.JPG,0.06964526457701382,363682,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2920.JPG,0.04120591659772651,215174,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2921.JPG,0.01405689861200478,73404,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2922.JPG,0.04780559640898367,249637,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2923.JPG,0.015081808989796856,78756,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2930.JPG,0.008493810705640837,44354,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2931.JPG,0.07804907007384257,407566,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2932.JPG,0.20514408493427705,1071246,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2933.JPG,0.2793487835891779,1458737,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2934.JPG,0.2807614823666391,1466114,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2935.JPG,0.29885789135030794,1560612,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2936.JPG,0.44185165609584215,2307314,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2937.JPG,0.49740612648221344,2597415,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2938.JPG,0.5021798495572509,2622343,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2939.JPG,0.5111556668811472,2669214,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2940.JPG,0.4936406532463155,2577752,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2941.JPG,0.43343329656524804,2263354,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2942.JPG,0.43632074026411743,2278432,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2943.JPG,0.359119442657107,1875293,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2944.JPG,0.1798125976652266,938967,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2945.JPG,0.09515101725036001,496871,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2946.JPG,0.20559832398811165,1073618,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2947.JPG,0.05508376229432852,287643,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2948.JPG,0.4468955862977602,2333653,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2962.JPG,0.0757975993504305,395809,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2963.JPG,0.08277740754358551,432257,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2964.JPG,0.15755354352422096,822732,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2965.JPG,0.15908535557802495,830731,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2966.JPG,0.20282712105892087,1059147,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2967.JPG,0.2916835187057634,1523148,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2968.JPG,0.41757457027300304,2180541,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2969.JPG,0.43407041854337103,2266681,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2970.JPG,0.4561211202009989,2381828,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2971.JPG,0.46631334834696814,2435051,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2972.JPG,0.4673507062536385,2440468,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2973.JPG,0.4652591384012011,2429546,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2974.JPG,0.46910906333302693,2449650,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2975.JPG,0.4105809740478598,2144021,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2976.JPG,0.23269889236143027,1215135,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2977.JPG,0.1430360863437203,746923,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2978.JPG,0.12349614701106107,644887,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2979.JPG,0.0453823497870515,236983,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2994.JPG,0.07051716609982535,368235,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2995.JPG,0.25753477648068146,1344826,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2996.JPG,0.40663893740233475,2123436,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2997.JPG,0.4932467368324295,2575695,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2998.JPG,0.44023003033367036,2298846,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_2999.JPG,0.48430155957961823,2528984,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3000.JPG,0.4520764393173392,2360707,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3001.JPG,0.4532145264577014,2366650,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3002.JPG,0.524388730581855,2738316,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3003.JPG,0.5419529598308668,2830035,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3004.JPG,0.42372882005086254,2212678,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3005.JPG,0.3801578729662653,1985154,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3006.JPG,0.3910818243098324,2042198,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3007.JPG,0.38700899286086343,2020930,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3008.JPG,0.2731401476851426,1426316,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3009.JPG,0.06451554217605784,336895,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3014.JPG,0.003047155069399761,15912,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3015.JPG,0.004151538131568465,21679,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3016.JPG,0.004438022796212887,23175,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3017.JPG,0.004710719428869075,24599,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3018.JPG,0.012084252535465882,63103,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3020.JPG,0.018648313264086773,97380,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3021.JPG,0.17460895609277813,911794,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3022.JPG,0.3399016070717284,1774939,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3023.JPG,0.41648301774060115,2174841,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3024.JPG,0.40699283022336613,2125284,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3025.JPG,0.5005097741826761,2613622,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3026.JPG,0.49745859760394645,2597689,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3027.JPG,0.4995034393479793,2608367,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3028.JPG,0.4983800977418268,2602501,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3029.JPG,0.48736422618500475,2544977,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3030.JPG,0.4903636976437785,2560640,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3031.JPG,0.42510915525324017,2219886,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3032.JPG,0.248924725005362,1299865,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3033.JPG,0.053304148665624905,278350,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3046.JPG,0.14353551950240526,749531,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3047.JPG,0.14281854183901707,745787,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3048.JPG,0.16889592333854214,881961,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3049.JPG,0.1759266706498759,918675,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3050.JPG,0.22240325397554922,1161372,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3051.JPG,0.37990777338603426,1983848,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3052.JPG,0.4997175368446855,2609485,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3053.JPG,0.5260890630266262,2747195,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3054.JPG,0.5203940313141526,2717456,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3055.JPG,0.5719605049483715,2986732,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3056.JPG,0.5262307733553941,2747935,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3057.JPG,0.4520703113031222,2360675,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3058.JPG,0.45047587860403837,2352349,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3059.JPG,0.448054546986549,2339705,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3060.JPG,0.4208499938719858,2197645,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3061.JPG,0.4228073199129822,2207866,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3062.JPG,0.40448474890461744,2112187,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3063.JPG,0.389345298281092,2033130,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3064.JPG,0.24567591996813432,1282900,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3065.JPG,0.11058920856696387,577488,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3066.JPG,0.4327461929711677,2259766,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3067.JPG,0.00886436406532463,46289,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3071.JPG,1.0,5221920,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3072.JPG,0.0795479440512302,415393,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3073.JPG,0.16848515488555935,879816,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3074.JPG,0.33648523914575484,1757099,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3075.JPG,0.41956713239574717,2190946,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3076.JPG,0.43740424977785947,2284090,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3077.JPG,0.4948921086496921,2584287,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3078.JPG,0.5479990118577075,2861607,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3079.JPG,0.5149801222538837,2689185,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3080.JPG,0.5028439730980175,2625811,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3081.JPG,0.5667425008426019,2959484,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3082.JPG,0.6820895379477281,3561817,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3083.JPG,0.6390881131844226,3337267,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3084.JPG,0.5790785764622974,3023902,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3085.JPG,0.5637077933020804,2943637,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3086.JPG,0.44432909734350584,2320251,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3087.JPG,0.27927582191990685,1458356,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3088.JPG,0.25052777522443853,1308236,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3089.JPG,0.2510097818426939,1310753,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3090.JPG,0.2376687118914116,1241087,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3091.JPG,0.16650101878236356,869455,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3092.JPG,0.1099225955204216,574007,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3093.JPG,0.005369672457640102,28040,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3102.JPG,0.09381740815638692,489907,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3103.JPG,0.15956353218739466,833228,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3104.JPG,0.37146049728835373,1939737,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3105.JPG,0.43617002941446825,2277645,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3106.JPG,0.43535615252627385,2273395,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3107.JPG,0.3615036231884058,1887743,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3108.JPG,0.5153342065753592,2691034,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3109.JPG,0.6582507966418482,3437333,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3110.JPG,0.6997539219290989,3654059,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3111.JPG,0.7160799093053896,3739312,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3112.JPG,0.7857060238379753,4102894,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3113.JPG,0.6996792367558293,3653669,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3114.JPG,0.6357939225419003,3320065,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3115.JPG,0.6295140484725924,3287272,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3116.JPG,0.5768123602046756,3012068,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3117.JPG,0.4504400680209578,2352162,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3118.JPG,0.3986838174464565,2081895,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3119.JPG,0.4112010524864418,2147259,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3120.JPG,0.3641384778012685,1901502,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3121.JPG,0.21212925513987194,1107722,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3122.JPG,0.11310341789992953,590617,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3123.JPG,0.08615566688114716,449898,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3124.JPG,0.006499525078898183,33940,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3128.JPG,0.07024772497472194,366828,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3129.JPG,0.1956611744339247,1021727,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3130.JPG,0.3269623050525477,1707371,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3131.JPG,0.3848166957747342,2009482,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3132.JPG,0.37993515794956645,1983991,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3133.JPG,0.39775504029169345,2077045,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3134.JPG,0.4041804546986549,2110598,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3135.JPG,0.644555450868646,3365817,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3136.JPG,0.6534046863988724,3412027,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3137.JPG,0.6526733462021632,3408208,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3138.JPG,0.8387533704078194,4379903,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3139.JPG,0.6964991803780984,3637063,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3140.JPG,0.6237420335815179,3257131,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3141.JPG,0.6233297331249809,3254978,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3142.JPG,0.5668361445598554,2959973,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3143.JPG,0.9398286454024574,4907710,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3144.JPG,0.443037235346386,2313505,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3145.JPG,0.4458766124337408,2328332,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3146.JPG,0.43339480497594757,2263153,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3147.JPG,0.4018081471949015,2098210,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3148.JPG,0.24087136532156755,1257811,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_3149.JPG,0.08309625578331342,433922,5221920,
